,Time,Theta1,Theta2,Omega1,Omega2,Theta1_dot,Theta2_dot,Omega1_dot,Omega2_dot
9170,4.585,2.1662539516428794,26.585777852432358,6.737094156307361,-18.780304230956176,6.737094156307361,-18.780304230956176,-87.38524936191577,180.8621852450378
9171,4.5855,2.1696116892531556,26.57640828527178,6.692855877535495,-18.688691036950967,6.692855877535495,-18.688691036950967,-86.97744470665555,179.4405212962067
9172,4.586,2.172947284447873,26.56708482868276,6.648934102287173,-18.598067517504724,6.648934102287173,-18.598067517504724,-86.53131595862631,177.95889525449766
9173,4.5865,2.176260929521505,26.557806984421543,6.605381481347864,-18.508532159188846,6.605381481347864,-18.508532159188846,-86.05115799743979,176.4247703199763
9174,4.587,2.179552846865218,26.548574201343804,6.562250313154866,-18.42018292822569,6.562250313154866,-18.42018292822569,-85.54110449919007,174.84525088884294
9175,4.5875,2.1828232794324944,26.539385840411693,6.51957643097971,-18.333079393427397,6.51957643097971,-18.333079393427397,-85.00466296154903,173.22642788343958
9176,4.588,2.1860723867579033,26.530240995931354,6.477251139808751,-18.24694707404673,6.477251139808751,-18.24694707404673,-84.44107618974878,171.5682834157158
9177,4.5885,2.189300339604288,26.521139097552677,6.435246987584244,-18.16171272300851,6.435246987584244,-18.16171272300851,-83.85190091391327,169.8740280420605
9178,4.589,2.192507322844201,26.51207966241808,6.393567987997741,-18.077378207269206,6.393567987997741,-18.077378207269206,-83.23948355090322,168.1479180782897
9179,4.5895,2.195693520852799,26.503062210307874,6.352217959740928,-17.993945116552023,6.352217959740928,-17.993945116552023,-82.6060409854778,166.39395704236722
9180,4.59,2.1988591175078764,26.494086263640153,6.311200526505177,-17.911414763346016,6.311200526505177,-17.911414763346016,-81.95366563156173,164.61590584076862
9181,4.5905000000000005,2.2020042961898483,26.485151347470854,6.270519116981772,-17.82978818290654,6.270519116981772,-17.82978818290654,-81.28433046133009,162.81729289421514
9182,4.591,2.205129239781735,26.47625698949379,6.230176964862126,-17.749066133255674,6.230176964862126,-17.749066133255674,-80.59989397921493,161.0014241556664
9183,4.5915,2.2082341306691933,26.467402720040578,6.190177108837345,-17.66924909518136,6.190177108837345,-17.66924909518136,-79.90210512134144,159.1713929804593
9184,4.5920000000000005,2.211319150740503,26.458588072080655,6.150522392598446,-17.590337272237836,6.150522392598446,-17.590337272237836,-79.19260806400492,157.33008981488177
9185,4.5925,2.214384481386545,26.44981258122135,6.111215464836568,-17.512330590746057,6.111215464836568,-17.512330590746057,-78.47294692753121,155.4802116750641
9186,4.593,2.217430303500842,26.44107578570779,6.072258779242549,-17.43522869979285,6.072258779242549,-17.43522869979285,-77.74457036432929,153.62427139314389
9187,4.5935,2.2204567974795286,26.43237722642294,6.033654594507209,-17.35903097123148,6.033654594507209,-17.35903097123148,-77.00883602218413,151.76460661228208
9188,4.594,2.2234641432213675,26.42371644688759,5.995404974321211,-17.28373649968137,5.995404974321211,-17.28373649968137,-76.26701487574688,149.90338851600788
9189,4.5945,2.2264525201277268,26.415092993260423,5.957511787375328,-17.209344102528636,5.957511787375328,-17.209344102528636,-75.52029542094044,148.04263028101406
9190,4.595,2.22942210710261,26.4065064143379,5.919976707360044,-17.13585231992529,5.919976707360044,-17.13585231992529,-74.76978772848221,146.18419524554443
9191,4.5955,2.232373082552643,26.39795626155433,5.882801212965754,-17.063259414789645,5.882801212965754,-17.063259414789645,-74.01652735409613,144.32980478837482
9192,4.596,2.2353056243870566,26.389442088981898,5.84598658788296,-16.991563372806684,5.84598658788296,-16.991563372806684,-73.2614791041111,142.481045915659
9193,4.5965,2.2382199100177176,26.380963453330583,5.809533920801878,-16.920761902427316,5.809533920801878,-16.920761902427316,-72.50554065613885,140.63937855497866
9194,4.597,2.241116116359115,26.3725199139482,5.7734441054126355,-16.850852434868727,5.7734441054126355,-16.850852434868727,-71.74954603542109,138.8061425577899
9195,4.5975,2.2439944198283426,26.36411103282044,5.7377178404054625,-16.781832124114793,5.7377178404054625,-16.781832124114793,-70.99426894813931,136.98256441287788
9196,4.598,2.2468549963451303,26.3557363745708,5.702355629470307,-16.713697846915288,5.702355629470307,-16.713697846915288,-70.2404259735945,135.16976367471432
