,Theta1,Theta2,Omega1,Omega2,x1_true,y1_true,x2_true,y2_true,Theta1_pred,Theta2_pred,Omega1_pred,Omega2_pred,x1_pred,y1_pred,x2_pred,y2_pred
90,2.927337,23.457544,3.1049576,20.421719,0.056705814,0.26060188,-0.20854206,0.28839496,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
91,3.7572575,45.571995,5.8915005,21.665112,-0.15401961,0.21773113,0.11263274,0.22277181,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
92,2.900834,58.445267,-6.942269,23.166887,0.063591786,0.25900766,0.3162618,0.34437013,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
93,4.118676,7.2449017,0.70035774,13.869422,-0.22105944,0.14920326,-0.0023188293,-0.0033793002,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
94,5.127806,21.033518,-5.221779,-8.704722,-0.24401665,-0.10763256,-0.025901273,0.04584244,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
95,5.174852,22.297888,4.333634,-2.8243687,-0.23868486,-0.11898918,-0.31921536,0.13526213,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
96,2.8723469,35.4955,-7.2360168,21.03092,0.07094339,0.25709128,-0.1441141,0.41482258,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
97,1.4426401,21.466448,-3.834682,13.358101,0.26451287,-0.03408579,0.3981173,0.19673608,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
98,3.9915915,71.79432,-3.1041453,22.245535,-0.20036627,0.17601775,-0.08141314,0.4147206,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
99,2.2015088,12.47136,-1.5958711,9.952748,0.21538894,0.1572784,0.19008777,-0.108218744,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
100,3.6275966,33.593044,-5.622899,19.841896,-0.12457458,0.23581785,0.0945861,0.3877964,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
101,2.8354027,15.014658,3.864196,-25.054813,0.08039083,0.2542955,0.25083426,0.45942456,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
102,2.731851,13.32928,-5.073733,-16.23422,0.10624589,0.24462359,0.29054287,0.051845178,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
103,1.5898708,15.270009,-7.184996,10.331823,0.26665148,0.005086856,0.37975565,0.24661602,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
104,1.8069007,11.261545,-5.7175164,-13.702835,0.25930083,0.06238564,0.0019785762,-0.0077154264,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
105,2.242916,16.120514,7.8063574,6.800885,0.2086937,0.16605973,0.10176105,0.41038388,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
106,2.9901319,23.30736,9.623578,8.334664,0.040240325,0.26364675,-0.21786335,0.33081356,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
107,3.4259632,48.27209,-5.856171,24.857548,-0.074823566,0.25598893,-0.31806135,0.36537027,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
108,1.8803016,14.859238,-10.645747,15.079104,0.25402758,0.081233464,0.45416957,0.25750616,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
109,1.8343235,15.241789,1.4104487,13.406994,0.25749275,0.06947204,0.377367,0.30771363,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
110,5.0448313,22.376835,5.3189945,-3.1214647,-0.25209767,-0.08703823,-0.3524289,0.16007012,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
111,4.1360993,21.10558,3.413851,-16.16322,-0.22362535,0.14532927,-0.017126128,0.31411007,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
112,2.870984,13.958899,-2.220256,-17.996134,0.07129369,0.25699437,0.3337671,0.20970161,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
